ResourceType      Locations      Name                  Zones    Restrictions
----------------  -------------  --------------------  -------  --------------------------------------------------------------------------------------------------------------------------------------------------------
availabilitySets  southeastasia  Aligned                        None
availabilitySets  southeastasia  Classic                        None
virtualMachines   southeastasia  Standard_E4_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E64-16ds_v4  1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E64-16s_v3   1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E64-16s_v4   1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E64-32ds_v4  1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E64-32s_v3   1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E64-32s_v4   1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E64ds_v4     1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E64d_v4      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E64is_v3     1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E64i_v3      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E64s_v3      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E64s_v4      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E64_v3       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E64_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E8-2ds_v4    1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E8-2s_v3     1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E8-2s_v4     1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E8-4ds_v4    1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E8-4s_v3     1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E8-4s_v4     1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E80ids_v4    1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E80is_v4     1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E8ds_v4      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E8d_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E8s_v3       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E8s_v4       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E8_v3        1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_E8_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_F1           1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_F16          1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_F16s         1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_F16s_v2      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_F1s          1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_F2           1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_F2s          1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_F2s_v2       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_F32s_v2      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_F4           1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_F48s_v2      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_F4s          1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_F4s_v2       1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_F64s_v2      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_F72s_v2      1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_F8           1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
virtualMachines   southeastasia  Standard_F8s          1,2,3    NotAvailableForSubscription, type: Zone, locations: southeastasia, zones: 2
